true_genre,raw_output,pred_genre
Indie,"After analyzing the provided lyrics, I would classify them as:

**Alternative/Indie Pop**

The lyrics seem to have a mix of introspective and emotive themes, with a focus on relationships, desire, and personal struggle. The language is poetic and expressive, which is consistent with the style often found in alternative and indie pop music.

Some specific features that support this classification include:

* The use of metaphors (e.g., ""Step close to me / See where the pieces meet"") and imaginative language
* The focus on emotional intensity and personal struggle
* The repetition of phrases like ""Show me how to move"" and ""I'm crying out to you"", which suggests a sense of urgency and desperation
* The overall tone, which is introspective and emotionally charged

While it's difficult to pinpoint an exact genre without more information about the artist or specific musical context, I believe that Alternative/Indie Pop is the most likely classification for these lyrics.",Indie
Rock,"Based on the lyrics provided, I would classify them as:

Label: Psychedelic/Soft Rock

The lyrics have a dreamy and surreal quality to them, with a focus on escapism and exploring the realm of fantasy. The language is poetic and evocative, which is typical of psychedelic and soft rock music from the 1960s and 1970s. The song's themes of hope, longing, and escape also suggest that it may be a classic example of this genre.",Rock
Rock,"Based on the lyrics, I would classify this song as Rock. The themes of introspection, personal struggle, and existential crisis are common in rock music, particularly in subgenres such as Alternative Rock or Heavy Metal. Additionally, the lyrical style, structure, and imagery used (""card table in the back of a pawnshop"", ""sleeping by the river on them big old nasty rocks"") suggest a more aggressive and emotive tone, which is also characteristic of rock music.",Metal
Rock,"A new lyric!

After analyzing the lyrics, I would classify them as:

**Alternative Rock/Rap**

The style and tone of the lyrics suggest a blend of alternative rock and rap. The use of strong emotions, introspective themes, and vivid imagery are reminiscent of artists like Radiohead, Muse, or Kendrick Lamar.

Specifically, the language, syntax, and structure of the lyrics suggest a more experimental and atmospheric approach, which is common in alternative rock and indie genres. The lyrical content also explores themes of anxiety, disillusionment, and spiritual searching, which are typical of many contemporary alternative rock bands.

However, some elements of the rap genre, such as the use of enjambment, internal rhymes, and a strong emphasis on wordplay, suggest that this song may incorporate hip-hop or rap influences into its overall sound.",Hip-Hop
Rock,"After analyzing the lyrics, I would classify them as Pop.

The reasons for this classification are:

1. The language and tone of the lyrics are straightforward and conversational, which is common in pop music.
2. The themes of staying true to oneself and resisting external pressure are classic pop topics.
3. The use of simple, catchy phrases and rhymes (""We never knew what we would go through"", ""Time could stand still but we never will"") is reminiscent of pop songwriting style.
4. The overall structure and rhythm of the lyrics seem designed to be easily sing-alongable and radio-friendly.

If I had to pick a specific genre within Pop, I'd say this lyric falls under the category of Adult Contemporary Pop or Mellow Pop, given its mellow and introspective tone.",Pop
Pop,"Based on the provided lyrics, I would classify them as:

**Classical/Traditional ( Folk-inspired)**

The lyrics have a simple, heartfelt, and somewhat old-fashioned tone, with themes of perseverance, love, and resilience in the face of adversity. The style is reminiscent of traditional folk music or classical music, with a focus on simplicity and sincerity.

Specifically, the lyrics evoke a sense of Victorian-era sentimentality or early 20th-century American folk songwriting, with a focus on storytelling and emotional expression.",Folk
Jazz,"After analyzing the new lyrics, I would classify them as:

**Rock**

Specifically, the lyrics appear to be a melancholic and introspective ballad, which is characteristic of many rock music genres. The themes of solitude, despair, and longing for human connection are common in rock music, particularly in the subgenres of alternative rock and heavy metal.

The lyrical style, with its use of metaphors (e.g., ""You haunt me""), vivid imagery (e.g., ""days gone by""), and emotional expression (e.g., ""I'm afraid / Dear Lord above / Send back my love""), is reminiscent of classic rock ballads by artists like Led Zeppelin, The Rolling Stones, or Guns N' Roses.

If I had to narrow it down further, I would say that the lyrics are leaning more towards **Gothic Rock** or **Doom Metal**, given the dark and introspective tone, as well as the use of words like ""despair"" and ""mad"". However, without more context or information about the artist, genre, or album this song is from, I wouldn't want to make a definitive classification.",Metal
Pop,"Based on the lyrics provided, I would classify them as Pop. The language and style of the lyrics are straightforward and sentimental, with a focus on relationships and emotions, which is typical of pop music. The structure and rhythm of the lyrics also suggest a pop song, with a repetitive and catchy quality. Additionally, the theme of expressing gratitude and appreciation for someone's love is consistent with many pop songs.

Specifically, I would categorize these lyrics as a type of ""sentimental ballad"" or a ""love song"", which are common genres within the pop genre. The language and style of the lyrics also evoke a sense of nostalgia and sentimentality, which is often characteristic of pop music from the 80s or early 90s.",Pop
Hip-Hop,"Based on the lyrics, I would classify this as Hip-Hop/Rap. The lyrics contain elements of storytelling, wordplay, and socially conscious commentary, which are all characteristic of the hip-hop genre. The use of complex rhyme schemes, internal rhymes, and multisyllable rhymes also suggests a strong emphasis on lyrical complexity, which is typical of hip-hop artists.

In particular, the style and tone of the lyrics seem to be reminiscent of groups like Inspectah Deck (Wu-Tang Clan) or Busta Rhymes, with their blend of streetwise lyricism and playful wordplay. The use of phrases like ""Bald head horse man"" and ""One true God"" also suggests a sense of mysticism and spiritual commentary that is common in some hip-hop subgenres.

Overall, I would classify this as Hip-Hop/Rap, with possible subgenre classification as Underground Rap or Old School Hip-Hop due to the lyrical complexity and nostalgic tone.",Hip-Hop
Rock,"Based on the lyrics, I would classify this as a song from the Alternative Rock or Emo genre. The themes of heartbreak, pain, and longing are common in this genre, and the lyrics seem to convey a sense of frustration, anger, and determination to move on.

The use of metaphors (""the sun doesn't always shine"", ""a solar eclipse"") and vivid imagery (""burning flame in the burning flames"") also suggests that the song is from a more expressive and emotive genre. Additionally, the lyrics' focus on the speaker's personal struggles and emotional turmoil is typical of Alternative Rock and Emo music.

Some possible labels could be:

* Alternative Rock
* Emo
* Indie Rock
* Post-Hardcore

Please note that these are just tentative suggestions based on the provided lyrics, and a more accurate classification would require hearing the actual song or having more context.",Indie
Rock,"After analyzing the lyrics, I would classify them as:

**Pop/Romantic Ballad**

Reasoning:

* The lyrics have a sentimental and emotive tone, focusing on memories of warm summer nights and a desire to see someone smile.
* The language is simple and relatable, making it accessible to a wide audience.
* The structure and rhythm are typical of pop ballads, with a repetitive and soothing melody in mind.
* The themes of nostalgia, love, and longing are all common in romantic pop music.

Specifically, I would say that these lyrics are reminiscent of 90s-early 2000s pop/R&B ballads, similar to artists like Boyz II Men or Usher.",Pop
Pop,"Based on the lyrics provided, I would classify them as:

**Pop/Rock Ballad**

The themes of heartache, longing, and lost love are common in pop/rock ballads. The emotional intensity, poetic language, and storytelling style also suggest a pop/rock classification. Additionally, the use of simple, repetitive melodies and harmonies often found in pop/rock music further supports this classification.

Specifically, I would say that these lyrics are reminiscent of the work of artists like Adele, Taylor Swift, or Sam Smith, who are known for their emotive and introspective pop/rock ballads.",UNKNOWN
Jazz,"Based on the provided lyrics, I would classify them as Pop.

The reason for this classification is:

* The language and tone used in the lyrics are simple and accessible, which is typical of pop music.
* The theme of love and relationships is a common topic in pop music.
* The structure of the song, with its repetitive chorus and use of metaphors (e.g. ""the fundamental loneliness goes""), is also characteristic of pop music.

Overall, the style and tone of the lyrics suggest that they are intended for a commercial pop audience, which is why I have classified them as Pop.",Pop
Rock,"I would classify this new lyric as ""Psychedelic Rock"" or ""Experimental Rock"". The lyrics seem to be a stream-of-consciousness, surrealistic narrative with vivid imagery and abstract metaphors. The repetition of certain words and phrases (""Lime green"", ""tangerine"", ""sickly sweet colors"") creates a hypnotic effect, while the non-linear structure and unexpected transitions add to the song's avant-garde quality.

Some specific features that contribute to this classification include:

* Use of vivid and dreamlike imagery
* Experimentation with language and syntax
* Repetition of certain words and phrases for emphasis or effect
* Non-linear structure and unexpected transitions
* Surrealistic and abstract themes

These characteristics are reminiscent of psychedelic rock bands like The Doors, Pink Floyd, or Jefferson Airplane, as well as experimental artists like Captain Beefheart or Talking Heads.",Rock
Rock,"Based on the lyrics provided, I would classify them as:

**Pop**

The language and structure of the lyrics are characteristic of pop music, with themes of love, heartache, and emotional manipulation. The use of simple, repetitive melodies and hooks is also typical of pop music. Additionally, the lyrical content is personal and introspective, which is common in pop music.

More specifically, I would categorize these lyrics as **Soft Rock/Adult Contemporary**, due to their focus on love and relationships, and their more mellow and emotive tone.",Pop
Hip-Hop,"Based on the lyrics, I would classify them as:

**Label: Hip-Hop/Rap**

The language, tone, and themes used in the lyrics are consistent with hip-hop/rap music. The use of strong emotions, personal struggles, and social commentary are common characteristics of this genre. The lyrics also contain a sense of determination, resilience, and pride, which is also typical of hip-hop/rap music.

Additionally, the lyrics touch on specific topics such as autism, self-acceptance, and social challenges, which are often addressed in hip-hop/rap music by artists who identify as autistic or neurodiverse. The tone and style of the lyrics suggest that they may be from an artist who is autistic themselves, or at least has a strong connection to the autistic community.",UNKNOWN
Country,"Based on the lyrics provided, I would classify this song as:

**Rock/Industrial**

The lyrics have a dark and aggressive tone, with themes of violence and chaos. The use of phrases like ""chain lightning"", ""young lions"", ""brute force"", and ""gun crazy"" suggests a high-energy, hard-hitting sound that is characteristic of rock music, particularly in the industrial subgenre.

Additionally, the lyrics' focus on intense action and destruction also suggests a strong influence from heavy metal or nu metal, which are both subgenres of rock music. Overall, I would classify this song as a high-energy, aggressive rock track with industrial influences.",Metal
Rock,"After analyzing the provided lyrics, I would classify them as **Rock Ballad**. The lyrics appear to be a introspective and emotive expression of longing and desire, with a focus on personal connection and intimacy. The language is poetic and evocative, with a soaring quality that suggests a powerful vocal performance. The themes of love, absence, and the passing of time are common in rock ballads, and the lyrics' emotional intensity and vulnerability are consistent with this genre.

Specifically, I would place these lyrics in the subgenre of **Soft Rock**, due to their mellow and introspective tone, which is typical of soft rock music. The use of metaphorical language, such as ""open your heart"" and ""it's been a long time to get here"", also suggests a more mellow and contemplative approach, which is characteristic of soft rock.",Rock
Rock,"After analyzing the lyrics, I would classify them as Pop. The lyrics have a catchy and upbeat tone, with a focus on romance and relationships. The language is simple and easy to understand, which is typical of pop music. The melody and structure of the song also suggest a pop style.

Some specific features that led me to this classification include:

* The repetition of phrases like ""I see you stand in front of me"" and ""She said im a good time lover"", which are common in pop songs.
* The focus on romance and relationships, which is a typical theme in pop music.
* The use of simple language and short sentences, which is characteristic of pop lyrics.
* The overall upbeat and catchy tone of the song, which is typical of pop music.

Let me know if you agree or disagree with this classification!",Pop
Metal,"Based on the provided lyrics, I would classify them as:

**Metal/Hard Rock**

The language, imagery, and themes used in these lyrics are characteristic of heavy metal or hard rock music. The use of words like ""Acheron"", ""grim facade"", ""bereavement"", ""spineless"", and ""monolitic"" suggests a darker and more aggressive tone, which is typical of the metal genre. Additionally, the lyrical focus on themes such as mortality, loss, and the struggle for meaning in life are common in heavy metal music.

More specifically, the style of these lyrics seems to be influenced by power metal or symphonic metal subgenres, with their use of poetic language, complex metaphors, and a sense of grandeur.",Metal
Pop,"After analyzing the lyrics, I would classify them as Pop/Romantic Ballad. The theme of the song appears to be a love song with romantic and sentimental lyrics, which is consistent with the style of pop music, particularly ballads.

The language used is simple, yet emotive, and the structure of the song follows a typical verse-chorus-verse-chorus-bridge-chorus format. The lyrics also have a somewhat nostalgic and introspective tone, which is common in romantic ballads.

Some specific features that support this classification include:

* The focus on emotions and feelings, particularly love and devotion
* The use of simple, relatable language to express complex emotions
* The repetitive structure and melody, typical of pop ballads
* The emphasis on the idea of finding love and connection with someone special

Overall, I would classify these lyrics as Pop/Romantic Ballad.",Pop
Pop,"Based on the lyrics provided, it is difficult to determine a specific genre classification without more information. However, some characteristics of these lyrics can help narrow down the possibilities:

* The theme of unity and working together suggests a message-oriented song that could fit into various genres.
* The repetition of phrases like ""all things work for better"" and ""when people learn to love,"" followed by an uplifting message about goodness and positivity, is reminiscent of gospel music or inspirational pop-rock.
* The structure and simplicity of the lyrics, with short sentences and simple rhymes, are typical of a more straightforward rock or pop song.

Given these characteristics, I would classify this lyric as:

**Rock/Pop**

More specifically, it could be classified under sub-genres like Inspirational Rock or Uplifting Pop.",Pop
Metal,"After analyzing the lyrics, I would classify them as Horror/Psychological Fiction.

The themes of darkness, evil presence, and supernatural events are characteristic of horror fiction. The eerie atmosphere, vivid descriptions of crumbling walls and mirrors, and the sense of foreboding all contribute to a horror-like tone.

Additionally, the lyrics touch on themes of trauma, possession, and the blurring of reality and fantasy, which are common in psychological horror.

While the lyrics may not fit neatly into any one genre label, I would argue that Horror/Psychological Fiction is the most fitting classification.",UNKNOWN
Pop,"Based on the lyrics provided, I would classify this song as R&B. The themes of love, relationships, and intimacy are common in R&B music, and the lyrics' focus on the emotional connection between two people suggests a contemporary R&B or pop-R&B style. The use of phrases such as ""I'm Dangerously In Love with you"" and ""You set me free"" also fits within the genre of R&B.

The level of explicitness in the lyrics is moderate, which may classify it slightly more towards Contemporary R&B rather than traditional R&B. However, without further information or context about the song's production style, genre influences, and release date, this classification remains a tentative suggestion.",Pop
Rock,"Based on the lyrics provided, it's challenging to pinpoint an exact genre without more information. However, considering the themes of affection, intimacy, and the longing for connection, these lyrics could fit into several genres:

1. **Pop**: The language is straightforward and focuses on personal relationships, making it a strong candidate for pop music.
2. **Rock/Soft Rock**: The mention of dark parking, kisses in the night, and holding hands could suggest an influence from rock or soft rock, but this seems less likely given the overall tone and focus on emotional connection.

To be more specific:

* The themes and language align closely with artists known for their pop sound and ballads.
* The style and structure of the lyrics could also fit within contemporary R&B or urban pop genres.

Without further context, it's difficult to definitively categorize these lyrics into a single genre.",Pop
Pop,"Based on the provided lyrics, I would classify them as:

**Pop/Rock**

The lyrics have a straightforward, conversational tone and focus on personal emotions, relationships, and struggles. The themes of heartbreak, frustration, and uncertainty are common in pop/rock music. Additionally, the lyrical style, structure, and vocabulary suggest a contemporary pop/rock artist.

More specifically, the lyrics could be classified as:

**Alternative Pop/Rock**

The use of phrases like ""Don't just stand there"" and the repetition of ""Don't just stand there"" suggests an alternative rock influence. The emotional intensity and introspective nature of the lyrics also align with the alternative pop/rock genre.

If I had to narrow it down further, I would say that these lyrics might be from a female artist, as they seem to convey a sense of vulnerability and personal struggle, which is often characteristic of female-led pop/rock bands.",Rock
Hip-Hop,"Based on the provided lyrics, I would classify them as R&B. The style, tone, and language used in the lyrics are consistent with the R&B genre, which is characterized by its soulful and upbeat sound. The lyrics also seem to be from a 90s-era R&B song, possibly from Blackstreet's hit single ""Before I Let Go"".",R&B
Metal,"Based on the provided lyrics, I would classify them as:

**Metal/Hard Rock**

The language, imagery, and themes used in these lyrics are consistent with the style of metal/hard rock music. The lyrics contain elements of:

* Dark and aggressive tone
* References to history (Mengele) and science (test-tubes, chromosome-chains)
* Concepts of elitism, failure, and predestination
* Imagery that evokes a sense of decay, degeneration, and chaos

The language is dense, complex, and often provocative, which is typical of metal/hard rock lyrics. The lyrical themes also seem to be focused on social commentary, critique of modern society, and exploring the darker aspects of human nature.

Some possible sub-genres that these lyrics might fit into include:

* Black Metal
* Death Metal
* Industrial Metal
* Heavy Metal

However, without more context or information about the specific band or artist behind these lyrics, it's difficult to pinpoint a specific sub-genre.",Metal
Rock,"After analyzing the lyrics, I would classify them as **Industrial/Industrial Metal**.

The language and imagery used in these lyrics suggest a darker, more aggressive tone, which is consistent with the industrial metal genre. The repetition of ""Guns. Razors. Knives"" and the emphasis on violence and destruction also point to this classification.

Additionally, the lyrical style and themes are reminiscent of bands like Nine Inch Nails, Marilyn Manson, or Rammstein, who are known for their industrial-tinged sound and often provocative lyrics.

Please note that some interpretations may vary, and a more specific classification might be needed based on additional context or information.",Metal
